datetime,open,high,low,close,volume
2020-09-04,10146.9,10630.0,9900.0,10454.94,13503.699808
2020-09-05,10454.94,10568.82,9824.1,10166.07,13546.977469
2020-09-06,10166.47,10350.0,9994.81,10256.89,7861.285186
2020-09-07,10256.89,10408.3,9875.0,10373.32,8992.790121
2020-09-08,10374.02,10438.77,9844.04,10123.64,11058.61181
2020-09-09,10123.84,10347.1,9976.28,10221.79,5779.305586
2020-09-10,10221.65,10487.79,10214.8,10340.34,8073.601892
2020-09-11,10340.17,10402.04,10199.53,10392.25,6010.62665
2020-09-12,10392.11,10477.67,10271.02,10440.74,3771.518917
2020-09-13,10440.93,10581.05,10211.34,10332.3,4771.247274
2020-09-14,10332.4,10747.46,10244.14,10676.2,9009.835768
2020-09-15,10676.2,10930.0,10611.97,10783.09,7672.119849
2020-09-16,10783.09,11095.24,10660.54,10953.89,7705.136318
2020-09-17,10953.47,11045.44,10746.53,10941.82,6065.572751
2020-09-18,10941.83,11040.46,10810.47,10934.8,5198.706715
2020-09-19,10934.79,11181.07,10888.09,11080.75,3401.197325
2020-09-20,11080.85,11080.85,10755.87,10916.66,4379.686431
2020-09-21,10916.68,10987.75,10290.96,10414.57,8370.327864
2020-09-22,10414.83,10572.88,10356.09,10528.77,5575.319531
2020-09-23,10528.78,10536.97,10133.56,10237.57,6141.509609
2020-09-24,10237.63,10796.63,10191.16,10738.81,8401.012178
2020-09-25,10738.8,10765.0,10555.59,10691.01,7004.966261
2020-09-26,10691.01,10824.16,10651.0,10729.62,3123.751039
2020-09-27,10729.73,10799.99,10593.72,10774.39,3304.170155
2020-09-28,10773.91,10954.81,10630.47,10692.83,5812.008928
2020-09-29,10692.61,10863.62,10635.72,10839.1,5235.692884
2020-09-30,10839.08,10847.62,10661.54,10775.29,5494.34425
2020-10-01,10775.59,10927.66,10440.0,10616.08,7406.474082
2020-10-02,10615.97,10661.12,10374.55,10571.16,7137.232107
2020-10-03,10571.17,10604.98,10494.83,10544.79,2322.770709
2020-10-04,10544.67,10694.91,10520.59,10669.49,2845.956384
2020-10-05,10669.08,10800.0,10620.39,10793.1,3248.214779
2020-10-06,10793.1,10801.47,10522.08,10596.59,6212.074071
2020-10-07,10596.6,10680.19,10546.94,10667.35,3433.254707
2020-10-08,10666.76,10955.14,10532.9,10928.65,5623.704445
2020-10-09,10928.16,11108.55,10826.65,11056.07,4674.702128
2020-10-10,11056.07,11495.0,11054.9,11299.03,5423.626968
2020-10-11,11299.02,11444.88,11276.76,11371.42,4213.330001
2020-10-12,11371.42,11725.91,11176.08,11534.33,7427.38166
2020-10-13,11534.33,11561.47,11311.92,11423.7,6647.586512
2020-10-14,11423.78,11551.11,11288.88,11423.82,4841.579943
2020-10-15,11423.82,11625.3,11253.41,11508.92,6070.919513
2020-10-16,11509.15,11546.66,11198.09,11324.19,6479.689512
2020-10-17,11324.23,11409.98,11263.88,11364.2,2392.335203
2020-10-18,11364.2,11513.98,11350.0,11507.76,2476.040087
2020-10-19,11508.12,11840.0,11413.72,11756.61,5819.248888
2020-10-20,11756.69,12049.0,11682.19,11919.63,7563.538719
2020-10-21,11919.65,13246.54,11898.3,12810.5,13366.596111
2020-10-22,12809.5,13204.08,12700.0,12984.4,9610.018536
2020-10-23,12986.36,13033.32,12732.33,12935.42,6348.538845
2020-10-24,12935.31,13177.64,12882.04,13124.86,3434.946475
2020-10-25,13124.85,13366.78,12888.05,13041.86,4365.580024
2020-10-26,13041.98,13250.0,12775.48,13067.01,6374.893472
2020-10-27,13067.0,13798.7,13055.4,13644.77,8235.939105
2020-10-28,13644.77,13865.04,12891.18,13270.0,9867.783015
