timestamp,open,high,low,close,volume
1641589200000,3214.96,3222.51,3204.99,3214.68,3767.131
1641592800000,3214.37,3215.95,3165.5,3181.63,4243.8773
1641596400000,3181.63,3198.8,3170.85,3197.44,2229.9437
1641600000000,3197.68,3239.0,3188.4,3235.7,5605.0921
1641603600000,3235.5,3245.48,3215.69,3217.29,3269.1779
1641607200000,3217.29,3221.47,3189.29,3209.83,2850.6346
1641610800000,3209.45,3212.91,3181.0,3203.35,3371.6621
1641614400000,3203.19,3226.17,3201.78,3218.49,2387.5838
1641618000000,3218.31,3219.92,3203.93,3214.82,1802.147
1641621600000,3214.8,3222.4,3191.7,3218.6,2366.593
1641625200000,3218.71,3228.0,3206.8,3215.42,2207.1593
1641628800000,3215.31,3237.0,3208.3,3215.0,3705.6628
1641632400000,3215.06,3240.55,3215.06,3240.36,2964.6488
1641636000000,3240.36,3247.4,3209.31,3221.16,3841.6457
1641639600000,3221.3,3223.75,3206.35,3220.29,2686.9927
1641643200000,3219.94,3230.0,3192.5,3201.3,3187.609
1641646800000,3201.12,3208.23,3175.96,3200.06,4506.3178
1641650400000,3200.07,3205.28,3175.4,3176.39,3096.9391
1641654000000,3176.39,3183.65,3146.7,3160.36,6228.7778
1641657600000,3160.36,3179.66,3121.52,3129.15,6960.3958
1641661200000,3129.43,3136.34,3035.63,3040.75,14023.3086
1641664800000,3040.74,3080.19,3001.7,3009.58,19670.0867
1641668400000,3009.57,3055.2,3000.0,3028.9,13311.8864
1641672000000,3028.89,3052.78,3003.68,3032.06,6772.6007
1641675600000,3032.06,3104.31,3025.88,3078.45,8568.5547
1641679200000,3078.44,3132.99,3075.89,3119.07,5053.5002
1641682800000,3118.78,3120.26,3075.06,3080.63,3621.7483
1641686400000,3080.82,3121.48,3058.43,3119.5,6482.1395
1641690000000,3119.43,3135.11,3093.31,3115.4,5513.3231
1641693600000,3115.31,3146.38,3110.71,3137.43,5847.9961
1641697200000,3137.21,3145.57,3118.4,3120.83,2935.9541
1641700800000,3120.82,3142.9,3116.62,3141.04,2731.5807
1641704400000,3141.04,3146.57,3119.05,3123.09,3561.311
1641708000000,3123.08,3140.79,3119.13,3138.23,3278.0368
1641711600000,3138.29,3140.56,3122.7,3128.06,2499.9681
1641715200000,3128.1,3139.46,3104.37,3108.04,4071.6993
1641718800000,3108.04,3117.04,3093.84,3097.03,3814.4263
1641722400000,3096.97,3111.0,3084.4,3106.98,3096.9444
1641726000000,3106.98,3133.3,3106.68,3128.7,2914.224
1641729600000,3128.7,3134.9,3105.13,3109.72,2581.4531
1641733200000,3109.72,3129.4,3086.57,3086.58,4193.7563
1641736800000,3086.59,3115.33,3086.5,3097.95,2956.083
1641740400000,3097.94,3103.96,3074.14,3097.78,3811.8819
1641744000000,3097.77,3160.0,3092.2,3159.43,6366.1173
